skillType,preferredLabel,relationType,altLabels,occupationUri,skillUri
skill/competence,report analysis results,essential,use data reporting,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/c544a9f3-5945-4b54-afed-de0697852817
knowledge,unstructured data,optional,data analytics,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666
knowledge,LINQ,optional,Language Integrated Query,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/c7d24594-0c11-4b27-9039-fe0bb903da8e
skill/competence,develop professional network with researchers and scientists,essential,"establish connections with researchers and scientists
cultivate a professional circle in academia
foster relationships with researchers and scientists",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/cc61f9e5-d4fc-470e-8606-1ce865ff8386
knowledge,data quality assessment,optional,"data quality analysis
analyse data quality",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/cc7370dd-69fa-4c67-a96f-d4d135d38700
skill/competence,integrate gender dimension in research,essential,"promote inclusion in research
account for gender characteristics in scientific research",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/cd50d616-1f8b-481e-983f-68d2674ff82d
skill/competence,perform project management,essential,"perform management of projects
do project management
conduct project management
manage projects
perform projects management
performing project management",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68
knowledge,state estimation,optional,"state inference
state estimation and prediction
energy state estimation",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/d38871eb-b988-495e-8fca-345677b597a8
skill/competence,manage open publications,essential,"manage open-source publications
handle open publications
handle open-source publications
manage open-source content
handle open-source content",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/da930e2f-6047-4616-a598-bba8ecef3039
knowledge,Hadoop,optional,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/e46291c7-52b9-4174-bd59-178884861038
knowledge,computational biology,optional,biological computing,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/e464363b-8346-421d-9035-52118b76d8c8
knowledge,data ethics,essential,principles of data ethics,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/e9575f7f-053a-439e-8074-f93df3334e92
knowledge,data science,essential,"data science process
science of data",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
knowledge,N1QL,optional,"Couchbase Query Language
Non-first Normal Form Query Language",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/f597f772-24d3-4cec-813c-cf5a7027c794
knowledge,empirical analysis,essential,empirical data analysis,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/f6ac6241-adb2-4ce2-b35f-09832cbb11ea
skill/competence,synthesise information,essential,"interpret complex information
critically summarise information
summarise information
synthesise complex information
write synthesis essays",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849
skill/competence,conduct research across disciplines,essential,"use research findings across disciplines
use research findings across functional boundaries
conduct interdisciplinary research
work across functional boundaries
work across disciplines",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/f7b071bf-4882-4cfc-ae0a-7e0e0ab94c61
skill/competence,develop data processing applications,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/f9670490-8aa4-4540-b121-d440a8294aab
skill/competence,promote the participation of citizens in scientific and research activities,essential,"engage citizens in scientific and research activities
foster public involvement in scientific research
engage public in research
encourage civic engagement in research
promote citizens participation in research",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/fa642fc3-5cc5-41cf-8926-6617a8b976a7
skill/competence,create data models,optional,manage data models,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779
knowledge,data models,essential,"",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5
skill/competence,communicate with a non-scientific audience,essential,"communicate publicly about scientific findings
engage in public awareness of research
communicate scientific results to the public
support public understanding of science findings",http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,http://data.europa.eu/esco/skill/ff64e9fc-36dd-4035-872a-83aa41dc1ad9
